frame,fx,fy,fz
0,3.2167277336120605,-0.8479535579681396,2.6460413932800293
1,0.6194989085197449,-5.0313920974731445,-1.122012972831726
2,4.147856712341309,10.43730640411377,4.787142753601074
3,0.5711053609848022,-8.552391052246094,-6.204039573669434
4,4.48576021194458,-2.8693084716796875,-1.2994959354400635
5,2.6126935482025146,5.160965919494629,7.406527996063232
6,-6.564608573913574,4.897238254547119,1.3876855373382568
7,2.1584761142730713,9.225000381469727,-19.481096267700195
8,3.837414264678955,3.9164953231811523,3.517490863800049
9,-1.715372085571289,5.996844291687012,-9.814179420471191
10,3.203084945678711,0.38506579399108887,2.3873496055603027
11,6.484897613525391,1.8693559169769287,-4.051210880279541
12,-0.952732503414154,-5.914281845092773,0.4296589195728302
13,-3.2624411582946777,-5.496982574462891,-4.554344654083252
14,0.2713843882083893,3.3705708980560303,3.500063180923462
15,1.0874909162521362,10.333748817443848,6.6243977546691895
16,-13.295499801635742,-3.7358250617980957,-3.091465950012207
17,-4.124715805053711,-16.472023010253906,2.3829333782196045
18,-4.1489033699035645,-1.247061848640442,-6.701021671295166
19,6.484913349151611,-11.328622817993164,-4.59750509262085
20,14.01923656463623,1.7824429273605347,-11.418262481689453
21,8.631009101867676,6.907115459442139,8.587286949157715
22,6.968311786651611,-6.585541248321533,-5.115185260772705
23,-3.602191925048828,6.810109615325928,2.839449644088745
24,0.3754318952560425,-8.43132495880127,-12.159104347229004
25,-18.815441131591797,22.47223663330078,7.365588665008545
26,1.2833950519561768,-11.132478713989258,3.576531171798706
27,-5.86345911026001,2.944528102874756,-3.379328489303589
28,5.292327880859375,6.667690753936768,1.8543450832366943
29,-6.683654308319092,2.2013516426086426,-4.835786819458008
30,-12.702274322509766,-10.334025382995605,-7.677506446838379
31,0.9458709359169006,-3.189297914505005,-2.7248847484588623
32,-0.8651807308197021,-3.0960724353790283,5.968051433563232
33,2.98339581489563,-2.7188072204589844,-6.868038654327393
34,1.9790095090866089,-4.921802997589111,-5.255124092102051
35,10.36890983581543,-0.5227558016777039,-12.40927791595459
36,-6.2641096115112305,5.779243469238281,-6.829137325286865
37,-7.7314653396606445,1.7579362392425537,-12.271040916442871
38,-10.578232765197754,-3.6053812503814697,-1.9227149486541748
39,-4.17690372467041,7.347398281097412,-4.891799449920654
40,-4.408440589904785,-8.797375679016113,5.580911636352539
41,-3.2072505950927734,5.175764083862305,2.1554601192474365
42,-8.909978866577148,3.9047083854675293,-3.1845879554748535
43,2.384059190750122,7.346688270568848,-3.051003932952881
44,-7.1912522315979,10.044936180114746,-7.459409713745117
45,1.8198751211166382,-5.304412364959717,8.444869041442871
46,1.7900264263153076,-3.7430355548858643,1.8752708435058594
47,-1.965400218963623,2.5082099437713623,-9.998430252075195
48,-3.324328899383545,10.520450592041016,8.939128875732422
49,-17.171297073364258,0.918961226940155,8.888745307922363
50,-7.206071853637695,3.288942337036133,2.946002244949341
51,-4.864627838134766,3.9714577198028564,3.7410311698913574
52,6.890378475189209,17.269987106323242,-3.2100865840911865
53,8.772968292236328,-7.159199237823486,16.32951545715332
54,-4.265666484832764,-13.448773384094238,3.764212131500244
55,2.0556132793426514,-2.214364528656006,8.799958229064941
56,0.6971900463104248,-6.141908168792725,-3.9556050300598145
57,2.063300848007202,2.4229812622070312,9.790562629699707
58,-8.809538841247559,-7.921645164489746,-13.142431259155273
59,6.775260925292969,-2.4265308380126953,4.476429462432861
60,-5.962621688842773,-2.1578660011291504,-2.1794700622558594
61,5.910791873931885,-0.2400408387184143,3.07505464553833
62,3.654796838760376,-0.909501850605011,-11.991817474365234
63,-7.20150899887085,8.488606452941895,-3.1728506088256836
64,4.7822771072387695,2.7559456825256348,-8.923344612121582
65,4.746949672698975,2.3015708923339844,-12.3438081741333
66,2.8209052085876465,-8.374528884887695,-3.2292332649230957
67,-6.725526332855225,0.8624868392944336,2.9442572593688965
68,1.5190439224243164,9.169537544250488,-6.760900020599365
69,2.5845205783843994,-6.463090896606445,0.3375611901283264
70,-14.587807655334473,9.978919982910156,-6.953395843505859
71,-6.185970783233643,8.96964168548584,1.4090943336486816
72,-5.837306976318359,-2.329083204269409,2.8841099739074707
73,-4.001892566680908,0.15782809257507324,8.390188217163086
74,4.7869439125061035,-15.829328536987305,-11.804779052734375
75,1.9181625843048096,0.39628323912620544,-8.883308410644531
76,12.21371078491211,-3.7123632431030273,-12.85932445526123
77,9.561016082763672,3.2838633060455322,-11.104942321777344
78,0.9122270345687866,14.52524185180664,8.276745796203613
79,0.3478016257286072,8.46682071685791,-9.875184059143066
80,5.323400020599365,-3.377254009246826,10.495471954345703
81,10.27969741821289,-2.2562427520751953,-0.023208854719996452
82,-4.13249397277832,-0.33439990878105164,-1.0653784275054932
83,-14.372039794921875,8.47677993774414,-8.462906837463379
84,-5.741581916809082,-14.792499542236328,6.307901382446289
85,-1.2323601245880127,2.0227346420288086,4.133327960968018
86,8.593324661254883,-4.5080461502075195,-11.894665718078613
87,-7.731842517852783,-4.512183666229248,4.502762317657471
88,-11.758251190185547,0.3215753734111786,-8.515849113464355
89,-3.8945651054382324,-0.14034436643123627,10.268289566040039
90,8.865367889404297,-5.792140483856201,-0.9420510530471802
91,10.473369598388672,-2.1290576457977295,0.6672992706298828
92,-11.125848770141602,-9.373050689697266,10.686692237854004
93,-3.1501784324645996,0.9210344552993774,1.0183193683624268
94,-4.7526164054870605,-5.806326389312744,0.7178881168365479
95,-2.5964927673339844,2.7866787910461426,0.16564331948757172
96,1.687591552734375,-3.680666446685791,0.35053664445877075
97,3.423192024230957,-6.189862251281738,3.5072240829467773
98,-0.07322613894939423,-10.45030689239502,3.096907615661621
99,-1.0548344850540161,-0.18623632192611694,-10.813238143920898
100,15.709737777709961,4.321938991546631,3.1416046619415283
101,-1.528324842453003,2.6914703845977783,8.337020874023438
102,-6.507472991943359,-2.9805848598480225,-7.861091613769531
103,-10.842483520507812,-4.638088703155518,1.2687056064605713
104,-2.357407808303833,5.231792449951172,0.334950715303421
105,4.5208892822265625,10.30875301361084,1.8858575820922852
106,-6.011733055114746,-2.0578839778900146,0.6445940732955933
107,-5.014193058013916,-4.485223770141602,-23.35637855529785
108,-10.326143264770508,3.5534117221832275,2.8557791709899902
109,-3.5429649353027344,-4.287132740020752,-0.634746789932251
110,-0.9687208533287048,1.8878333568572998,1.6994514465332031
111,5.521746635437012,5.287158012390137,14.131678581237793
112,7.912015914916992,-3.4224753379821777,9.498306274414062
113,4.124070167541504,16.222625732421875,-4.804149150848389
114,8.64718246459961,1.0124329328536987,7.516385078430176
115,1.0943745374679565,-14.796067237854004,5.4252214431762695
116,-4.117573261260986,-6.01660680770874,-12.12690258026123
117,-5.54433536529541,-13.508272171020508,-3.853599786758423
118,6.8940935134887695,0.17410622537136078,0.25055351853370667
119,6.189751148223877,-3.4801313877105713,6.76710319519043
120,11.880693435668945,-1.241234302520752,14.734745025634766
121,6.877548694610596,12.725824356079102,0.1869790256023407
122,3.0680441856384277,2.6309890747070312,1.9077425003051758
123,-8.617362976074219,-3.3351082801818848,9.304231643676758
124,7.321495056152344,0.2299627661705017,13.668574333190918
125,7.584046363830566,3.8404011726379395,-2.7822608947753906
126,-1.878629446029663,-10.272943496704102,-4.974054336547852
127,3.4269299507141113,3.529944658279419,-0.11565150320529938
128,4.7797040939331055,-3.9988632202148438,11.694644927978516
129,-1.4346723556518555,-2.531480550765991,-9.367813110351562
130,-5.170671463012695,-3.1208560466766357,3.71712064743042
131,-8.732833862304688,-2.4273884296417236,-0.5387348532676697
132,2.601710319519043,3.734210968017578,0.7396339774131775
133,3.966299057006836,-17.816335678100586,-3.7175276279449463
134,0.8767437934875488,-1.8047083616256714,0.867012083530426
135,8.77894115447998,-1.2601442337036133,6.479062080383301
136,11.77621841430664,8.123661041259766,13.987988471984863
137,6.713897705078125,-3.5501596927642822,-3.34389328956604
138,-4.902777671813965,6.634185791015625,-7.3251142501831055
139,8.904499053955078,-1.3188241720199585,5.985408782958984
140,2.0036509037017822,2.237419605255127,0.3267395496368408
141,2.998194694519043,-0.11200211197137833,0.723339855670929
142,1.6695733070373535,-9.627413749694824,1.2735497951507568
143,3.198721170425415,5.5939154624938965,5.5804443359375
144,-13.055412292480469,6.592757225036621,2.4365932941436768
145,-5.745678424835205,8.385407447814941,-0.117302305996418
146,7.368112564086914,7.196795463562012,4.685995578765869
147,5.691771507263184,-12.910985946655273,4.52507209777832
148,-2.2722294330596924,-6.047048568725586,-1.221675992012024
149,-1.6863517761230469,-2.7207086086273193,-1.4039908647537231
150,5.243684768676758,2.7275848388671875,11.24350643157959
151,5.554566383361816,3.6286232471466064,18.617013931274414
152,8.024599075317383,-8.755736351013184,3.3267877101898193
153,-2.3004541397094727,9.216503143310547,-2.4845495223999023
154,10.433782577514648,-4.702538013458252,6.326169490814209
155,13.86378288269043,-2.48543119430542,2.25536847114563
156,-8.813429832458496,-0.9481185078620911,-9.88100528717041
157,5.887651443481445,3.5025832653045654,7.9084320068359375
158,6.291277885437012,11.86685562133789,-6.495610237121582
159,-4.802621364593506,-7.452276229858398,-25.436189651489258
160,-1.9749449491500854,1.0622602701187134,-8.96988582611084
161,0.809270441532135,4.178674221038818,-7.7446370124816895
162,2.887863874435425,3.292248010635376,0.5566246509552002
163,-1.9467581510543823,12.20461368560791,11.991251945495605
164,-10.540998458862305,0.28710952401161194,4.689058303833008
165,1.5737837553024292,1.7949122190475464,-10.280252456665039
166,-2.3237082958221436,-11.3513765335083,-2.496063709259033
167,4.892776966094971,4.036411762237549,27.095779418945312
168,0.6619001030921936,-1.4393179416656494,-16.174936294555664
169,3.9079980850219727,-12.196268081665039,4.337757587432861
170,-3.6729846000671387,3.4602925777435303,0.5058726668357849
171,-1.890712857246399,7.378810882568359,2.8321468830108643
172,7.599573135375977,3.9384665489196777,7.650208950042725
173,6.972403526306152,-9.479166030883789,-3.6298632621765137
174,6.369143486022949,1.0380995273590088,4.716590881347656
175,-4.709668159484863,7.11286735534668,-6.83814001083374
176,5.929993629455566,-3.2976601123809814,-7.095012187957764
177,-6.420136451721191,1.14083993434906,1.1262695789337158
178,1.9998146295547485,0.12786579132080078,-15.160737037658691
179,11.759761810302734,0.19974863529205322,18.33156967163086
180,-6.446025371551514,6.145332336425781,9.881682395935059
181,-7.674197673797607,3.647514581680298,8.350362777709961
182,-4.748101711273193,6.643912315368652,-0.4029931426048279
183,-11.7392578125,1.7908339500427246,2.171570062637329
184,-28.946460723876953,16.190597534179688,-10.345934867858887
185,8.185964584350586,5.881831169128418,9.361234664916992
186,3.692430019378662,-2.4467644691467285,1.3654701709747314
187,6.464561939239502,11.612247467041016,-1.4635674953460693
188,8.0181303024292,-9.341509819030762,3.133920192718506
189,0.5365794897079468,4.903467655181885,-1.5733848810195923
190,-0.9997225403785706,-2.5165915489196777,-13.606538772583008
191,17.46868324279785,2.3268890380859375,17.46961212158203
192,-6.663914680480957,5.940347194671631,-5.382101535797119
193,-0.7167961597442627,-2.62841796875,2.282100200653076
194,2.9357995986938477,-7.49335241317749,5.029303550720215
195,-5.577589988708496,11.847671508789062,-5.311832904815674
196,7.473855972290039,-5.28656530380249,2.7828142642974854
197,8.985784530639648,-4.317873954772949,3.228752851486206
198,-6.9570631980896,2.027937412261963,2.489722728729248
199,0.4283687174320221,-2.338632106781006,-2.2271792888641357
200,1.093580722808838,-0.6160826683044434,3.1510818004608154
201,-8.037887573242188,2.2888009548187256,-5.627472400665283
202,-0.3950732350349426,11.716617584228516,-3.6893069744110107
203,10.220757484436035,2.3000102043151855,-8.117111206054688
204,2.3555004596710205,-1.347949504852295,1.1045432090759277
205,9.622632026672363,1.7118277549743652,0.12777316570281982
206,6.168110370635986,-8.399184226989746,9.579282760620117
207,-0.279779851436615,5.793649673461914,-2.196662187576294
208,-1.397155523300171,-6.254295349121094,9.187334060668945
209,3.3384158611297607,4.005984306335449,5.479766845703125
210,0.5384820699691772,-0.06651689112186432,3.6059412956237793
211,-8.09627628326416,0.5388286113739014,7.405879020690918
212,-4.641429901123047,-2.6462974548339844,-4.541647911071777
213,-1.7998204231262207,-12.012247085571289,-6.518716812133789
214,3.995842933654785,12.558273315429688,3.3468925952911377
215,-2.440016746520996,-2.3966116905212402,-5.377722263336182
216,11.812911987304688,-6.688899517059326,0.4105830490589142
217,20.974882125854492,-5.139358043670654,38.65437698364258
218,11.341347694396973,-2.835592031478882,11.534991264343262
219,-6.017282009124756,1.8751035928726196,3.443326711654663
220,-6.354118347167969,10.384272575378418,3.8714232444763184
221,-0.7329649925231934,10.881475448608398,1.0433961153030396
222,-3.2740046977996826,-13.263704299926758,-4.145550727844238
223,5.823070526123047,-0.7286896705627441,-8.387451171875
224,2.617593765258789,-6.9616804122924805,5.091030597686768
225,-1.5149178504943848,-2.4856598377227783,10.109149932861328
226,-7.612841606140137,0.5815866589546204,-4.994966983795166
227,7.594803810119629,-3.1272220611572266,-6.283566951751709
228,-9.43712329864502,-5.156156539916992,7.11792516708374
229,1.9326450824737549,7.163383483886719,4.9403886795043945
230,6.033115386962891,-16.051349639892578,-1.987562656402588
231,10.358983039855957,14.068931579589844,-0.7888293266296387
232,-6.61362361907959,7.769392967224121,0.2789331078529358
233,7.9020209312438965,12.774849891662598,-7.7626776695251465
234,5.7476277351379395,-7.651447772979736,-13.041540145874023
235,0.5533732175827026,2.373223304748535,7.468242645263672
236,-5.774993419647217,-12.169113159179688,9.710776329040527
237,-0.9913160800933838,2.307063579559326,-0.7047197818756104
238,8.103691101074219,11.925715446472168,11.138618469238281
239,1.524183750152588,-7.151763916015625,4.061218738555908
240,0.9711814522743225,6.842036247253418,2.053912401199341
241,2.7592241764068604,-1.8044530153274536,-11.695622444152832
242,-3.389887809753418,7.846192836761475,4.195043563842773
243,-3.1645395755767822,17.365577697753906,-1.1659867763519287
244,4.162913799285889,2.1886117458343506,10.6964693069458
245,-3.612931728363037,-4.614833831787109,0.5126270055770874
246,18.061466217041016,0.16423925757408142,1.710138201713562
247,-7.503479957580566,-3.252471446990967,10.4661865234375
248,10.001577377319336,6.055974006652832,8.375519752502441
249,-6.153479099273682,-1.1788066625595093,0.22464556992053986
250,-1.3699811697006226,5.406261444091797,12.519816398620605
251,1.766744613647461,0.8014060258865356,10.672369956970215
252,9.528400421142578,10.420543670654297,-2.837001085281372
253,2.8441426753997803,-5.950479030609131,3.871829032897949
254,-2.933037519454956,2.0022048950195312,-4.018953323364258
255,-3.3029487133026123,-7.070631504058838,-13.25904369354248
256,1.6207199096679688,12.87519645690918,-9.800209045410156
257,2.4321131706237793,-3.391800880432129,14.643762588500977
258,2.5810470581054688,-8.208250999450684,-7.847076416015625
259,11.341951370239258,7.119678497314453,11.8947172164917
260,-4.187994480133057,-8.17908000946045,4.3553690910339355
261,8.951704978942871,-5.581412315368652,9.677366256713867
262,-0.5066962242126465,-5.935066223144531,11.256213188171387
263,10.856467247009277,14.657086372375488,6.675935745239258
264,8.616523742675781,-5.675115585327148,-6.716660976409912
265,-2.7875373363494873,-5.463342666625977,-14.27745246887207
266,-9.483732223510742,-2.975731134414673,1.666396141052246
267,-1.158024549484253,-1.1891112327575684,-2.133985996246338
268,1.2738373279571533,6.953889846801758,1.9051069021224976
269,4.678590297698975,6.97037935256958,8.235785484313965
270,0.6742576360702515,-3.8571298122406006,-1.6939507722854614
271,4.921734809875488,-5.890597343444824,-0.42758432030677795
272,0.06199376657605171,-6.819067001342773,-5.491079807281494
273,-10.103887557983398,-1.3366681337356567,3.6523280143737793
274,11.591452598571777,-1.1126481294631958,-10.880049705505371
275,0.6849182844161987,-13.1990327835083,6.9481658935546875
276,-1.113886833190918,-0.6443402767181396,2.889589309692383
277,-6.7736101150512695,-5.129633903503418,-1.907275915145874
278,-9.602516174316406,2.5598154067993164,-7.392433166503906
279,-21.195842742919922,-14.386539459228516,-18.5394229888916
280,-7.961028099060059,0.6081294417381287,-2.574397087097168
281,0.17152872681617737,6.477132320404053,6.98727560043335
282,0.7673676013946533,21.62844467163086,1.823500633239746
283,-1.4098484516143799,9.416865348815918,1.2637351751327515
284,2.138012647628784,2.90588641166687,6.330836296081543
285,-16.205280303955078,4.7329912185668945,-6.546084880828857
286,6.323471546173096,-7.894043445587158,9.367873191833496
287,-10.564736366271973,0.023853976279497147,2.5933189392089844
288,10.082143783569336,1.5177947282791138,7.7706499099731445
289,-7.296100616455078,2.10857892036438,-9.0401029586792
290,6.49632453918457,-6.2871928215026855,-5.125998497009277
291,4.578503608703613,7.783379077911377,5.4319329261779785
292,1.1634502410888672,-3.612403631210327,0.38923290371894836
293,1.982472538948059,1.0253639221191406,4.445470333099365
294,5.747861862182617,2.6642773151397705,4.529751300811768
295,-15.384961128234863,-3.6019983291625977,0.5350973010063171
296,5.300848960876465,-14.319204330444336,-7.271064758300781
297,0.661494255065918,1.0005446672439575,-20.667802810668945
298,0.35036414861679077,0.8639938831329346,0.21119064092636108
299,3.394064426422119,-4.043708324432373,-9.537322044372559
300,-3.882322311401367,-8.432735443115234,-4.866725444793701
301,-6.585230827331543,-2.1739628314971924,4.206578254699707
302,7.069892883300781,-7.585191249847412,10.450648307800293
303,16.166440963745117,1.4954626560211182,3.2899398803710938
304,-19.323989868164062,7.2951788902282715,-4.569678783416748
305,4.863374710083008,-2.069929361343384,-3.1640682220458984
306,-6.485293388366699,-2.742431402206421,7.884411334991455
307,11.918477058410645,14.861597061157227,-3.787637710571289
308,-6.733615398406982,4.82196044921875,2.3765575885772705
309,-11.630084991455078,3.0963218212127686,-1.6430307626724243
310,1.9495658874511719,-12.52049446105957,-0.6051846146583557
311,0.6442991495132446,-7.024818420410156,-5.50547981262207
312,13.050517082214355,-10.1414155960083,13.961421966552734
313,9.103181838989258,-7.8331780433654785,-11.609012603759766
314,-0.7179179787635803,-5.802979469299316,-4.161792755126953
315,-1.0030982494354248,2.293336868286133,-3.978368043899536
316,4.920835018157959,-2.3764326572418213,-8.465902328491211
317,-8.978226661682129,0.2740584909915924,-5.099268436431885
318,-12.383672714233398,7.637007713317871,-8.640829086303711
319,15.02602481842041,-3.9050350189208984,14.806326866149902
320,6.385027885437012,11.128437042236328,5.665924072265625
321,-6.977726936340332,5.6096601486206055,2.9988389015197754
322,-3.9058146476745605,-6.581310749053955,3.0639240741729736
323,0.6792965531349182,0.5032055974006653,-1.580186128616333
324,-8.817322731018066,8.270289421081543,3.044731378555298
325,-13.338401794433594,2.3138203620910645,-4.6113433837890625
326,-14.31893253326416,2.8008670806884766,4.377610683441162
327,-5.538484573364258,-6.823974609375,-10.655468940734863
328,2.930471658706665,3.909336566925049,-6.552402973175049
329,3.888197898864746,-0.664885938167572,8.641220092773438
330,13.597272872924805,14.591886520385742,6.821625232696533
331,-10.937568664550781,2.4092118740081787,0.5672405362129211
332,-8.427536964416504,5.067135810852051,-4.4919586181640625
333,1.367445468902588,-13.023334503173828,-1.8290376663208008
334,-0.1279335618019104,-1.6993095874786377,-2.065422296524048
